Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Has_Cabin,Title,FamilySize,Is_Alone,Embarked_C,Embarked_Q,Embarked_S
0,3,1,0.38623104829163113,0,0,-0.4978105183601161,0,0,1,1,False,True,False
1,3,0,1.3713700413713346,1,0,-0.5126599554690081,0,2,2,0,False,False,True
0,2,1,2.5535368330669788,0,0,-0.46453180516733505,0,0,1,1,False,True,False
0,3,1,-0.2048523475561909,0,0,-0.4828876578405313,0,0,1,1,False,False,True
1,3,0,-0.5989079447880722,1,1,-0.4179706178987396,0,2,3,0,False,False,True
0,3,1,-1.2293969003590823,0,0,-0.4728143240564602,0,0,1,1,False,False,True
1,3,0,0.031581010782937916,0,0,-0.5013921481500081,0,1,1,1,False,True,False
0,2,1,-0.28366346700256717,1,1,-0.11868067858089343,0,0,3,0,False,False,True
1,3,0,-0.9141524225735773,0,0,-0.508555407729792,0,2,1,1,True,False,False
0,3,1,-0.6777190642344485,2,0,-0.2055352009857733,0,0,3,0,False,False,True
0,3,1,-0.2048523475561909,0,0,-0.49661783564008205,0,0,1,1,False,False,True
0,1,1,1.2925589219249582,0,0,-0.1724051254292727,0,0,1,1,False,False,True
1,1,0,-0.520096825341696,1,0,0.8352273190652948,1,2,2,0,False,False,True
0,2,1,2.632347952513355,1,0,-0.1724051254292727,0,0,2,0,False,False,True
1,1,0,1.3713700413713346,1,0,0.4575140138679743,1,2,2,0,False,False,True
1,2,0,-0.4412857058953197,1,0,-0.14158878271704234,0,2,2,0,True,False,False
0,2,1,0.4256366080148193,0,0,-0.4168513585893984,0,0,1,1,False,True,False
0,3,1,-0.6777190642344485,0,0,-0.5086306219553797,0,0,1,1,True,False,False
1,3,0,-0.2048523475561909,1,0,-0.49609491769075786,0,1,2,0,False,False,True
1,3,0,1.213747802478582,0,0,-0.5086306219553797,0,2,1,1,True,False,False
0,1,1,2.0018589969423446,1,0,0.42572704948268325,0,0,2,0,True,False,False
0,3,1,-1.6234524975909637,0,1,-0.5812338394262795,0,3,2,0,False,False,True
1,1,0,-0.2048523475561909,0,0,-0.07062774250480806,0,2,1,1,False,False,True
0,1,1,-0.6777190642344485,0,1,0.46117085788345397,0,0,2,0,True,False,False
1,1,0,1.4501811608177106,1,3,4.060633582499278,1,2,5,0,True,False,False
0,3,1,1.6078033997104633,1,0,-0.37834883834805993,0,0,2,0,False,False,True
1,1,0,-0.5989079447880722,0,1,0.47191574725312985,1,1,2,0,True,False,False
0,3,1,-0.5595023850648841,0,0,-0.5086306219553797,0,0,1,1,True,False,False
0,1,1,0.8985033246930769,0,0,-0.09181845515670378,1,0,1,1,False,False,True
0,3,1,-0.2048523475561909,2,0,-0.24978265541009842,0,0,3,0,True,False,False
0,2,1,1.6078033997104633,1,0,-0.1724051254292727,0,0,2,0,False,False,True
0,2,1,-0.4412857058953197,2,0,-0.07391030620724402,0,0,3,0,False,False,True
1,3,0,0.2680143691220667,1,2,-0.2695568334800919,0,2,4,0,False,False,True
1,3,0,-0.2048523475561909,1,2,-0.2180709052503951,0,2,4,0,False,False,True
0,1,1,0.031581010782937916,1,0,0.39617860371607466,1,0,2,0,True,False,False
0,3,1,-0.8747468628503892,0,0,-0.508555407729792,0,0,1,1,True,False,False
1,3,0,-0.2048523475561909,0,0,-0.4938563990720754,0,1,1,1,False,False,True
1,3,0,-0.6777190642344485,0,0,-0.4828876578405313,0,1,1,1,False,False,True
0,3,1,-0.3624745864489434,0,0,-0.4678895830953587,0,0,1,1,False,False,True
0,3,1,-0.2048523475561909,0,0,0.3737182033036623,0,0,1,1,False,False,True
0,3,1,0.7408810858003243,0,1,-0.3977487361050097,0,0,2,0,True,False,False
0,1,1,-0.2048523475561909,0,0,-0.16255564350706983,1,0,1,1,False,False,True
0,3,1,0.8985033246930769,0,0,-0.4974380288619673,0,0,1,1,False,False,True
1,2,0,0.031581010782937916,0,0,-0.4052110617722496,0,2,1,1,False,False,True
1,1,0,1.213747802478582,1,0,0.3031314434044717,1,2,2,0,False,False,True
0,3,1,-0.3624745864489434,0,0,-0.49609491769075786,0,0,1,1,False,False,True
